pais, ano, krause, valor, moeda, qualidade, material, diametro, detalhe, anverso, reverso, 
Afeganistao, 0, , 10000, AFGHANIS, MB, PAPEL, 170X76MM, , , , 
Afeganistao, 1978, 53A, 50, AFGHANIS, , PAPEL, 133X57, , , , 
Afeganistao, 1991, 61, 1000, AFGHANIS, FE, PAPEL, 162X71, , , , 
Afeganistao, 2002, , 1, AFGHANIS, FE, PAPEL, 131X55, , , , 
Alemanha, 1908, 33, 100, MARK, UTG, PAPEL, 159X96, SERIE 8238143C, , , 
Alemanha, 1910, , 1000, REICH, UTG, PAPEL, , NR3089026B, , , 
Alemanha, 1922, 76, 1000, MARK, UTG, PAPEL, 158X85, SERIE XA 160800 MM, , , 
Alemanha, 1922, 76, 1000, MARK, UTG, PAPEL, 158X85, SERIE DE 304563 PL, , , 
Alemanha, 1919, , 50, MARK, UTG, PAPEL, , 08777, , , 
Alemanha, 1919, , 50, MARK, UTG, PAPEL, 153X101, SERIE 599187, , , 
Alemanha Terceiro Reich, 1945, R139, 20, REICHMARK, MTG, PAPEL, 155X80MM, NAZISTA SERIE C2679228, , , 
Angola, 1999, 144, 5, KWANZA, , PAPEL, 138X65, HQ1415419, , , 
Angola, 2012, 152, 50, KWANZA, B, PAPEL, 65X145, TM 1435557, , CUEMBA, 
Argentina, 0, , 5, PESO, FE, PAPEL, 150X55, 00111324A, JOSE DE SAN MARTIN, , 
Argentina, 0, , 10000, PESO, UTG, Papel, 154X77MM, 67352335b, General San Martin, Parque Nacional El Palmar, 
Argentina, 0, , 1000, PESO, UTG, Papel, 151X74MM, 292917176, General San Martin, Plaza De Mayo, 
Argentina, 0, , 5000, PESO, UTG, PAPEL, , 17699348B, GRAL SAN MARTIN, , 
Argentina, 1985, , 10, AUSTRALES, FE, PAPEL, 155X55MM, SERIE 54223735B, SANTIAGO DERQUI, , 
Argentina, 2002, 346, 2, PESO, , PAPEL, 155X65, 63956395L OTIMO ESTADO, , , 
Argentina, 2003, 353, 5, PESO, , PAPEL, 153X64, 28805807F RISCADA, , , 
Argentina, 2003, 354, 10, PESO, , PAPEL, 154X64, 02148842L ESTADO RUIM, , , 
Argentina, 2003, 355, 20, PESO, , PAPEL, 155X65, 01447019E OTIMO ESTADO, , , 
Austria, 1902, 8, 1000, KRONEN, UTG, PAPEL, 129X191, 79463 2501, , , 
Bangladesh, 1979, 6B, 1, TAKA, FE, PAPEL, 100X60MM, MARCA DAGUA CABECA DE TIGRE, ANTILOPES, FORCAS  ARMADAS, 
Bangladesh, 2003, 6C, 2, TAKA, FE, PAPEL, 100X60, , , , 
Bangladesh, 2012, 53, 5b, TAKA, FE, PAPEL, 117X60, , , , 
Bielorrussia, 1992, , 50, RUBLEI, FE, PAPEL, 115X54, SEM NUMERO DE SERIE, ESQUILO, , 
Bielorrussia, 1992, , 100, RUBLEI, FE, PAPEL, 150X53, SERIE AR 2393151, , BISAO, 
Bielorrussia, 2000, 23, 10, RUBLEI, FE, PAPEL, 110X60MM, SERIE TA1897747, VALOR, EDIFICIO DA CIDADE DE MINSK, 
Bielorrussia, 2000, 24, 20, RUBLO, FE, PAPEL, 150X69MM, SERIE M6 2521055, BANCO CENTRAL, INTERIOR DO BANCO, 
Bolivia, 1952, , 5, BOLIVIANO, UTG, PAPEL, 134X61, 528484D, , , 
Bosnia E Herzegovina, 1992, 10, 10, DINARA, FE, PAPEL, 145X78, SERIE 76725468, , , 
Bosnia E Herzegovina, 1992, , 10, , FE, PAPEL, , , , , 
Brasil, 1944, C 09, 1, CRUZEIRO, SOB, PAPEL, 156X67, SERIE 615 060152, MARQUES DE TAMANDARE, ESCOLA NAVAL, 5
Brasil, 1944, C 14, 2, CRUZEIRO, UTG, PAPEL, 150X65, SERIE 486 057887, DUQUE DE CAXIAS, ESCOLA MILITAR DE REZENDE, 2
Brasil, 1953, C 66, 5, CRUZEIRO, MBC, PAPEL, 152X66, 2 ESTAMPA SERIE 552A 042980, BARAO RIO BRANCO, CONQUISTA DO AMAZONAS, 20
Brasil, 1954, C 10, 1, CRUZEIRO, FE, PAPEL, 157X67, SERIE 1418 022327, MARQUES DE TAMANDARE, ESCOLA NAVAL, 8
Brasil, 1954, C 11, 1, CRUZEIRO, MB, PAPEL, 157X67, SERIE 2399 059328, MARQUES DE TAMANDARE, ESCOLA NAVAL, 8
Brasil, 1955, C 61, 2, CRUZEIRO, B, PAPEL, 150X65, 2 ESTAMPA SERIE 226A 071960, DUQUE DE CAXIAS, ESCOLA MILITAR DE RESENDE, 1
Brasil, 1955, C 50, 1000, CRUZEIRO, REPOR, PAPEL, 157X67MM, SERIE 405A  064464 , PEDRO ALVARES CABRAL, PRIMEIRA MISSA, 0
Brasil, 1955, C 51, 1000, REIS, B, PAPEL, 157X67MM, SERIE 715 015758, PEDRO ALVARES CABRAL, PRIMEIRA MISSA, 0
Brasil, 1956, C 12, 1, CRUZEIRO, FE, PAPEL, 157X67, SERIE 2753 061665, MARQUES DE TAMANDARE, ESCOLA NAVAL, 5
Brasil, 1956, C 62, 2, CRUZEIRO, BOA, PAPEL, 150X65, ESTAMPA 2 SERIE 308 008313, DUQUE DE CAXIAS, ESCOLA MILITAR DE REZENDE, 5
Brasil, 1956, C 63, 2, CRUZEIRO, MBC, PAPEL, 157X67, ESTAMPA 2 SERIE 807 026059, DUQUE DE CAXIAS, ESCOLA MILITAR DE REZENDE, 3
Brasil, 1956, C 78, 10, CRUZEIRO, MBC, PAPEL, 157X67, 2 ESTAMPA SERIE 1358 053408, GETULIO VARGAS, UNIDADE NACIONAL, 3
Brasil, 1956, C 68, 5, CRUZEIRO, MBC, PAPEL, 157X67, ESTAMPA 2A SERIE 1471 028019, BARAO RIO BRANCO, CONQUISTA DO AMAZONAS, 4
Brasil, 1958, C 13, 1, CRUZEIRO, UTG, PAPEL, 157X67, SERIE 3679 088252, MARQUES DE TAMANDARE, ESCOLA NAVAL, 2
Brasil, 1958, C 16, 2, CRUZEIRO, UTG, PAPEL, 150X65, SERIE 943 044604, DUQUE DE CAXIAS, ESCOLA MILITAR DE REZENDE, 0
Brasil, 1958, C 64, 2, CRUZEIRO, MB, PAPEL, 157X67, ESTAMPA 2 SERIE 1038 074588, DUQUE DE CAXIAS, ESCOLA MILITAR DE REZENDE, 2
Brasil, 1958, C 79, 10, CRUZEIRO, REPOR, PAPEL, 157X67, 2 ESTAMPA SERIE 1639 087019, GETULIO VARGAS, UNIDADE NACIONAL, 2
Brasil, 1960, C 81, 10, CRUZEIRO, MBC, PAPEL, 157X67, 2 ESTAMPA SERIE 2235 073267, GETULIO VARGAS, UNIDADE NACIONAL, 1
Brasil, 1961, C 111, 5, CRUZEIRO, B, PAPEL, 152X66, ESTAMPA 3 SERIE 55 074870, INDIO, VITORIA REGIA, 4
Brasil, 1961, C 46, 500, CRUZEIRO, REPOR, PAPEL, 157X67MM, 1 ESTAMPA SERIE 328 011784, D JOAO VI, ABERTURA DOS PORTOS, 0
Brasil, 1962, C 71, 5, CRUZEIRO, MB, PAPEL, 152X66, ESTAMPA 2 SERIE 3198 068397, BARAO RIO BRANCO, CONQUISTA DO AMAZONAS, 3
Brasil, 1962, C 88, 20, CRUZEIRO, B, PAPEL, 158X67, ESTAMPA 2 SERIE 2198 007767, MARECHAL DEODORO DA FONSECA, PROCLAMACAO DA REPUBLICA, 5
Brasil, 1962, C 82, 10, CRUZEIRO, MBC, PAPEL, 157X67, 2 ESTAMPA SERIE 2458 026561, GETULIO VARGAS, UNIDADE NACIONAL, 15
Brasil, 1962, C 112, 5, CRUZEIRO, REPOR, PAPEL, 156X67MM, ESTAMPA 3A SERIE 092 060940, INDIO, VITORIA REGIA, 
Brasil, 1963, C 56, 1000, CRUZEIRO, REPOR, PAPEL, 157X67, ESTAMPA 1 SERIE 3384 087914, PEDRO ALVARES CABRAL, PRIMEIRA MISSA, 0
Brasil, 1963, C 20, 10, CRUZEIRO, REPOR, PAPEL, 157X67, SERIE 738 063658 , GETULIO VARGAS, UNIDADE NACIONAL, 0
Brasil, 1963, C 23, 20, CRUZEIRO, REPOR, PAPEL, 157X67, SERIE 1063 061244, DEODORO DA FONSECA, PROCLAMACAO DA REPUBLICA, 0
Brasil, 1964, C 74, 5, CRUZEIRO, MBC, PAPEL, 157X67, 2 ESTAMPA 3899 SERIE 098790, BARAO RIO BRANCO, CONQUISTA DO AMAZONAS, 2
Brasil, 1964, C 74B, 5, CRUZEIRO, SOB, PAPEL, 157X67, 2 ESTAMPA 4559 SERIE 048169, BARAO DE RIO BRANCO, CONQUISTA DO AMAZONAS, 10
Brasil, 1964, C 35, 100, CRUZEIRO, MBC, PAPEL, 157X67, SERIE 1354A 055107 1A ESTAMPA, D PEDRO II, CULTURA NACIONAL, 10
Brasil, 1964, C 42, 200, CRUZEIRO, BC, PAPEL, 157X67MM, 1 ESTAMPA SERIE 1120 010688, D PEDRO I, GRITO DO IPIRANGA, 20
Brasil, 1964, C 43, 200, REIS, MBC, PAPEL, 157X67MM, SERIE 1486 021619, D PEDRO I, O GRITO DO IPIRANGA, 20
Brasil, 1966, C 114, 1 CENTAVO, CRUZEIRO, B, PAPEL, 157X67, CARIMBADA EM 10 CRUZEIRO ESTAMPA 2 SERIE 3165 072799, GETULIO VARGAS, UNIDADE NACIONAL, 2
Brasil, 1966, C 115, 5 CENTAVO, CRUZEIRO, B, PAPEL, 157X67, CARIMBADA EM 50 CRUZEIRO ESTAMPA 2 SERIE 858 061347, PRINCESA ISABEL, LEI AUREA, 12
Brasil, 1967, C 116, 5 CENTAVO, CRUZEIRO, B, PAPEL, 157X67, CARIMBADA EM 50 CRUZEIRO ESTAMPA 2 SERIE 1373 048332, PRINCESA ISABEL, LEI AUREA, 3
Brasil, 1967, C 118, 10 CENTAVO, CRUZEIRO, REPOR, PAPEL, 157X67, CARIMBADA EM 100 CRUZEIRO ESTAMPA 2 SERIE 1191 035647, D PEDRO II, CULTURA NACIONAL, 0
Brasil, 1974, C 138, 10, CRUZEIRO, FE, PAPEL, 157X73, A06200 010419, D PEDRO II, PREFETA DANIEL ALEIJADINHO, 20
