PAIS, QUANTIDADE
AFRICA DO SUL, 12
AFRICA OCIDENTAL, 1
ALEMANHA, 50
ALEMANHA TERCEIRO REICH, 6
ANGOLA, 6
ANTILHAS HOLANDESAS, 2
ARABIA SAUDITA, 1
ARGENTINA, 49
ARMENIA, 2
ARUBA, 1
AUSTRALIA, 7
AUSTRIA, 7
BAHAMAS, 3
BAHRAIN, 1
BANGLADESH, 1
BELGICA, 15
BERMUDAS, 1
BOLIVIA, 5
BRASIL, 380
BULGARIA, 1
CABO VERDE, 1
CANADA, 10
CAZAQUISTAO, 5
CHILE, 20
CHINA, 5
CHIPRE, 3
COLOMBIA, 7
COREIA DO SUL, 2
CROACIA, 4
CUBA, 4
DINAMARCA, 3
EGITO, 3
EMIRADOS ARABES UNIDOS, 4
EQUADOR, 4
ESLOVAQUIA, 1
ESLOVENIA, 4
ESPANHA, 46
ESTADOS UNIDOS, 127
FIJI, 1
FILIPINAS, 1
FINLANDIA, 8
FRANCA, 55
GANA, 1
GRECIA, 9
GUIANA, 3
HAITI, 3
HOLANDA, 15
HONG KONG, 4
HUNGRIA, 13
ILHAS CAYMAN, 1
ILHAS SALOMAO, 2
INDIA, 5
INDONESIA, 2
IRAN, 3
IRLANDA, 5
ISLANDIA, 3
ISRAEL, 9
ITALIA, 35
IUGOSLAVIA, 4
JAMAICA, 1
JAPAO, 40
JERSEY, 3
JORDANIA, 1
LAOS, 1
LIBANO, 1
LIBIA, 1
LITUANIA, 3
LUXEMBURGO, 2
MACAU, 1
MALASIA, 4
MALDIVAS, 1
MEXICO, 9
MOCAMBIQUE, 1
MOLDAVIA, 1
NIGERIA, 1
NORUEGA, 4
NOVA ZELANDIA, 3
OMAN, 1
PANAMA, 1
PAPUA NOVA GUINE, 1
PAQUISTAO, 2
PARAGUAI, 8
PERU, 13
POLONIA, 9
PORTUGAL, 34
QUENIA, 1
REINO UNIDO, 48
REPUBLICA CHECA, 7
ROMENIA, 2
RUANDA, 1
RUSSIA, 8
SINGAPURA, 5
SIRIA, 1
SUECIA, 7
SUICA, 11
TAILANDIA, 4
TAIWAN, 2
TAJIQUISTAO, 1
TCHECOSLOVAQUIA, 1
TONGA, 1
TUNISIA, 1
TURQUIA, 6
UGANDA, 3
UNIAO SOVIETICA, 2
URUGUAI, 35
UZBEQUISTAO, 6
VENEZUELA, 4
VIETNAM, 1
ZAMBIA, 1
