                           PAIS   ANO           #         VALOR             MOEDA  QUALIDADE                                                                                    MATERIAL  DIAMETRO        VENDA
0                          pais   ano      krause         valor             moeda  qualidade                                                                                    material  diametro  valor_venda
1                 Africa do sul  1989     KM# 139             2              RAND                                                                       COBRE COM REVESTIMENTO DE NIQUEL      23MM       4.58; 
2                 Africa do sul  2004     KM# 325             5          CENTIMOS                                                                          ACO COM REVESTIMENTO DE COBRE      21MM       1.42; 
3                 Africa do sul  1996     KM# 160             5          CENTIMOS                                                                          ACO COM REVESTIMENTO DE COBRE      21MM       0.94; 
4                 Africa do sul  1996     KM# 159             2          CENTIMOS                                                                          ACO COM REVESTIMENTO DE COBRE      18MM       1.69; 
5                 Africa do sul  1996     KM# 158             1           CENTIMO                                                                          ACO COM REVESTIMENTO DE COBRE      15MM       1.28; 
6                 Africa do sul  2009     KM# 470             5              RAND                                                       BIMETALICA: CENTRO DE LATAO ANEL DE CUPRO-NIQUEL      26MM      13.35; 
7                 Africa do sul  2004     KM# 336             2              RAND                                                                       COBRE COM REVESTIMENTO DE NIQUEL      23MM       4.45; 
8                 Africa do sul  1976      KM# 91             1           CENTIMO                                                                                                 BRONZE      19MM       2.29; 
9                 Africa do sul  1972      KM# 86            20          CENTIMOS                                                                                                 NIQUEL    24.2MM       3.37; 
10                Africa do sul  1994     KM# 137            50          CENTIMOS                                                                         ACO COM REVESTIMENTO DE BRONZE      22MM       1.95; 
11                Africa do sul  1994     KM# 138             1              RAND                                                                       COBRE COM REVESTIMENTO DE NIQUEL      20MM       2.02; 
12                Africa do sul  1971      KM# 83             2          CENTIMOS                                                                                                 BRONZE   22.45MM       1.55; 
13           Africa occidental   1968      KM# 2A             5           FRANCOS                                                                                  COBRE-ALUMINIO-NIQUEL      20MM       4.31; 
14                     Alemanha  1989     KM# 110             1             MARCO                                                                                           CUPRO-NIQUEL    23.5MM      11.26; 
15                     Alemanha  1950     KM# 108            10           PFENNIG                                                                          ACO COM REVESTIMENTO DE LATAO    21.5MM       1.28; 
16                     Alemanha  1950     KM# 107             5           PFENNIG                                                                          ACO COM REVESTIMENTO DE LATAO    18.5MM       0.94; 
17                     Alemanha  2002     KM# 210            10  CENTIMOS DE EURO                                                                                           OURO NORDICO   19.75MM       0.67; 
18                     Alemanha  2017     KM# 209             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
19                     Alemanha  1985     KM# 108            10           PFENNIG                                                                          ACO COM REVESTIMENTO DE LATAO    21.5MM       1.69; 
20                     Alemanha  1978     KM# 105             1           PFENNIG                                                                          ACO COM REVESTIMENTO DE COBRE    16.5MM       0.94; 
21                     Alemanha  2004     KM# 209             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
22                     Alemanha  2014     KM# 208             2  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   18.75MM       0.27; 
23                     Alemanha  2004     KM# 209             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
24                     Alemanha  2017     KM# 255            20  CENTIMOS DE EURO                                                                                           OURO NORDICO   22.25MM       1.35; 
25                     Alemanha  2017     KM# 254            10  CENTIMOS DE EURO                                                                                           OURO NORDICO   19.75MM       0.74; 
26                     Alemanha  2016     KM# 209             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
27                     Alemanha  1981   KM# 140.1             5            MARCOS                                                                                           CUPRO-NIQUEL      29MM      16.58; 
28                     Alemanha  2017     KM# 208             2  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   18.75MM       0.13; 
29                     Alemanha  1921      KM# 27            50           PFENNIG                                                                                               ALUMINIO      23MM       4.11; 
30                     Alemanha  1987     KM# 105             1           PFENNIG                                                                          ACO COM REVESTIMENTO DE COBRE    16.5MM       0.74; 
31                     Alemanha  1984    KM# 106A             2           PFENNIG                                                                          ACO COM REVESTIMENTO DE COBRE   19.25MM       1.01; 
32                     Alemanha  2005     KM# 209             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.47; 
33                     Alemanha  2002     KM# 209             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
34                     Alemanha  1950     KM# 105             1           PFENNIG                                                                          ACO COM REVESTIMENTO DE COBRE    16.5MM       0.88; 
35                     Alemanha  1900      KM# 11             5           PFENNIG                                                                                           CUPRO-NIQUEL      18MM           ; 
36                     Alemanha  2002     KM# 209             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
37                     Alemanha  2002     KM# 209             5  CENTIMOS DE EURO                                                                          ACO COM REVESTIMENTO DE COBRE   21.25MM       0.34; 
