"País","Denominação","Ano", "Var.", "Moeda", "Assunto","Estado (Conservação)","Preço, BRL","Número Krause","Tags","Comentário"
"África do Sul","1 cêntimo","1996","","Rand Sul Africano","","","","KM# 158","",""
"África do Sul","1 cêntimo","1976","","Rand Sul Africano","Fim da Presidência de Jacobus Johannes Fouché","","","KM# 91","",""
"África do Sul","2 cêntimos","1996","","Rand Sul Africano","","","","KM# 159","",""
"África do Sul","2 cêntimos","1971","","Rand Sul Africano","","","","KM# 83","",""
"África do Sul","5 cêntimos","2004","","Rand Sul Africano","","","","KM# 325","",""
"África do Sul","5 cêntimos","1996","","Rand Sul Africano","","","","KM# 160","",""
"África do Sul","20 cêntimos","1972","","Rand Sul Africano","","","","KM# 86","",""
"África do Sul","50 cêntimos","1994","","Rand Sul Africano","","","","KM# 137","",""
"África do Sul","1 rand","1994","","Rand Sul Africano","","","","KM# 138","",""
"África do Sul","2 rand","2004","","Rand Sul Africano","","","","KM# 336","",""
"África do Sul","2 rand","1989","","Rand Sul Africano","","","","KM# 139","",""
"África do Sul","5 rand","2009","","Rand Sul Africano","","","","KM# 470","",""
"África Occidental ","5 francos","1968","","Franco CFA do Oeste Africano","","","","KM# 2a","",""
"Alemanha","1 cêntimo de euro","2008 D","D","Euro","Mintmark ""D"" - Munich","","","KM# 207","",""
"Alemanha","1 cêntimo de euro","2004 G","G","Euro","Mintmark ""G"" - Karlsruhe","","","KM# 207","",""
"Alemanha","2 cêntimos de euro","2017 F","F","Euro","Mintmark ""F"" - Stuttgart","","","KM# 208","",""
"Alemanha","2 cêntimos de euro","2014 F","F","Euro","Mintmark ""F"" - Stuttgart","","","KM# 208","",""
"Alemanha","2 cêntimos de euro","2012 F","F","Euro","Mintmark ""F"" - Stuttgart","","","KM# 208","",""
"Alemanha","5 cêntimos de euro","2017 G","G","Euro","Mintmark ""G"" - Karlsruhe","","","KM# 209","",""
"Alemanha","5 cêntimos de euro","2016 D","D","Euro","Mintmark ""D"" - Munich","","","KM# 209","",""
